Twisted Fate,7,"90,740",,"12/2/22, 9:29 PM",Mastered,
Karthus,7,"72,973",,"7/1/23, 5:20 PM",Mastered,
Tryndamere,7,"71,950",,"5/29/23, 11:54 PM",Mastered,
Blitzcrank,7,"68,559",,"7/29/23, 11:24 PM",Mastered,
Vladimir,7,"58,850",,"7/24/23, 10:42 PM",Mastered,
Master Yi,7,"34,466",,"7/26/23, 10:02 PM",Mastered,
Draven,6,"59,325",,"9/2/18, 3:10 AM",,
Darius,6,"36,217",,"6/14/23, 11:46 PM",,
Ezreal,5,"23,263",,"11/26/22, 12:24 AM",,
Jax,4,"17,102",,"4/2/23, 7:28 PM",,"4,498"
Dr. Mundo,4,"15,929",,"5/1/23, 11:53 PM",,"5,671"
Fiora,4,"13,189",,"3/18/23, 7:48 PM",,"8,411"
Malphite,3,"12,297",,"8/26/18, 6:16 PM",,303
Twitch,3,"10,027",,"9/10/17, 10:13 PM",,"2,573"
Corki,3,"8,352",,"12/4/16, 4:19 PM",,"4,248"
Jinx,3,"7,942",,"7/12/17, 12:58 AM",,"4,658"
Kha'Zix,3,"6,921",,"8/19/17, 4:50 PM",,"5,679"
Kennen,3,"6,867",,"12/31/16, 7:40 PM",,"5,733"
Yone,3,"6,520",,"7/26/23, 10:54 PM",,"6,080"
Kalista,2,"5,760",,"3/5/16, 4:53 PM",,240
Anivia,2,"4,785",,"4/1/16, 8:58 PM",,"1,215"
Tristana,2,"4,630",,"10/10/17, 12:57 AM",,"1,370"
Bel'Veth,2,"4,357",,"6/15/23, 11:04 PM",,"1,643"
Kog'Maw,2,"4,153",,"10/10/17, 8:35 PM",,"1,847"
Pyke,2,"3,365",,"3/24/23, 7:20 PM",,"2,635"
Gnar,2,"3,261",,"3/9/16, 5:35 PM",,"2,739"
Yasuo,2,"3,238",,"10/15/19, 8:32 PM",,"2,762"
Rengar,2,"3,183",,"6/15/23, 11:39 PM",,"2,817"
Warwick,2,"3,005",,"7/6/17, 1:09 AM",,"2,995"
Thresh,2,"2,940",,"3/26/23, 10:32 PM",,"3,060"
Mordekaiser,2,"2,641",,"4/9/23, 6:47 PM",,"3,359"
Vi,2,"2,513",,"11/8/16, 9:24 PM",,"3,487"
Katarina,2,"2,455",,"1/17/17, 1:04 AM",,"3,545"
Alistar,2,"2,410",,"11/22/17, 12:37 AM",,"3,590"
Vayne,2,"2,031",,"3/22/16, 11:34 PM",,"3,969"
Veigar,2,"2,005",,"3/16/23, 5:32 PM",,"3,995"
Irelia,2,"1,950",,"4/27/18, 11:24 PM",,"4,050"
Kayle,2,"1,905",,"11/22/16, 3:30 PM",,"4,095"
Ahri,2,"1,867",,"3/27/16, 11:56 PM",,"4,133"
Gangplank,1,"1,714",,"3/3/23, 9:43 PM",,86
Garen,1,"1,707",,"2/4/16, 11:01 PM",,93
Kayn,1,"1,443",,"1/15/18, 3:27 AM",,357
Wukong,1,"1,435",,"10/3/15, 7:04 PM",,365
Xayah,1,"1,393",,"6/21/17, 3:04 AM",,407
Olaf,1,"1,384",,"2/21/23, 9:15 PM",,416
Nautilus,1,"1,376",,"11/29/16, 12:15 AM",,424
Ryze,1,"1,368",,"11/25/15, 4:53 PM",,432
Annie,1,"1,325",,"3/9/16, 3:14 PM",,475
Riven,1,"1,185",,"1/19/18, 3:25 AM",,615
Kassadin,1,"1,105",,"11/25/15, 3:16 PM",,695
Miss Fortune,1,"1,041",,"6/18/17, 3:03 AM",,759
Xerath,1,988,,"5/25/18, 12:48 AM",,812
Pantheon,1,983,,"10/25/19, 9:46 PM",,817
Swain,1,923,,"9/16/16, 3:26 PM",,877
Vex,1,797,,"11/25/22, 10:33 PM",,"1,003"
Graves,1,557,,"3/17/16, 3:41 PM",,"1,243"
Samira,1,384,,"11/26/22, 4:58 PM",,"1,416"
Malzahar,1,339,,"5/27/18, 12:39 AM",,"1,461"
Hecarim,1,249,,"11/4/16, 1:11 AM",,"1,551"
Lulu,1,220,,"2/3/16, 7:12 PM",,"1,580"
Viego,1,205,,"11/26/22, 5:44 PM",,"1,595"
Rek'Sai,1,195,,"2/20/16, 6:29 PM",,"1,605"
Caitlyn,1,173,,"6/18/17, 4:45 PM",,"1,627"
Ekko,1,172,,"10/1/15, 9:44 PM",,"1,628"
Ivern,1,161,,"11/28/16, 11:01 PM",,"1,639"
Kled,1,158,,"1/14/18, 8:33 PM",,"1,642"
Sion,1,158,,"3/9/16, 6:57 PM",,"1,642"
Cassiopeia,1,157,,"1/1/17, 2:14 PM",,"1,643"
Camille,1,116,,"4/27/18, 11:55 PM",,"1,684"
Taric,1,112,,"12/1/16, 4:41 PM",,"1,688"
Tryndamere,7,"176,097",,"4/3/23, 11:15 PM",Mastered,
Karthus,7,"113,015",,"5/4/23, 10:20 PM",Mastered,
Blitzcrank,7,"78,207",,"4/7/23, 8:32 PM",Mastered,
Vladimir,7,"69,701",,"5/4/23, 9:32 PM",Mastered,
Rengar,7,"58,200",,"2/15/23, 8:43 PM",Mastered,
Draven,7,"56,214",,"2/21/19, 12:16 AM",Mastered,
Master Yi,7,"31,111",,"7/27/23, 6:41 PM",Mastered,
Jax,6,"42,094",,"4/9/23, 6:12 PM",,
Warwick,6,"37,015",,"11/6/17, 6:02 PM",,
Twisted Fate,5,"26,678",,"10/25/19, 9:13 PM",,
Fiora,4,"20,048",,"3/19/23, 12:40 PM",,"1,552"
Akali,4,"17,356",,"10/4/17, 1:01 AM",,"4,244"
Ezreal,4,"13,147",,"1/26/23, 8:48 PM",,"8,453"
Jinx,4,"12,643",,"7/10/17, 4:25 PM",,"8,957"
Bel'Veth,3,"12,510",,"7/21/23, 10:48 PM",,90
Kha'Zix,3,"12,356",,"12/9/17, 1:00 AM",,244
Kog'Maw,3,"11,429",,"3/5/16, 4:11 PM",,"1,171"
Darius,3,"11,149",,"4/9/23, 5:50 PM",,"1,451"
Twitch,3,"10,547",,"10/9/17, 9:19 PM",,"2,053"
Malzahar,3,"10,522",,"8/31/18, 9:20 PM",,"2,078"
Dr. Mundo,3,"6,809",,"5/3/23, 12:27 AM",,"5,791"
Tristana,2,"5,780",,"8/2/18, 3:44 PM",,220
Alistar,2,"5,776",,"4/7/23, 8:57 PM",,224
